"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A000472879","4459678","2016/10/04","13:00:00","2016","OCTUBRE","MARTES","AC 53-KR 45","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2016/10/04 12:59:59+00","4.64555717","-74.08451406"
"A000346978","4442756","2016/04/20","10:50:00","2016","ABRIL","MIERCOLES","AV AVENIDA CIUDAD DE CALI-CL 15","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2016/04/20 10:50:00+00","4.6565786","-74.13902779"
"A001390935","10562094","2022/01/28","16:58:00","2022","ENERO","VIERNES","KR 14 -CL 78 ","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2022/01/28 16:57:59+00","4.66457935","-74.05716599"
"A001298390","10539100","2021/04/30","20:00:00","2021","ABRIL","VIERNES","KR 13-CL 54","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2021/04/30 20:00:00+00","4.64093903","-74.06481601"
"A001346553","10553870","2021/10/27","18:10:00","2021","OCTUBRE","MIERCOLES","CL 143 B -KR 151 A ","CON HERIDOS","ATROPELLO","SUBA","BOGOTA DC","2021/10/27 18:10:00+00","4.75301065","-74.12183912"
"A000477306","4463113","2016/11/05","13:30:00","2016","NOVIEMBRE","SABADO","AC 63-KR 57","CON HERIDOS","ATROPELLO","TEUSAQUILLO","BOGOTA DC","2016/11/05 13:30:00+00","4.65527241","-74.08582164"
"A000403304","4448209","2016/06/11","20:30:00","2016","JUNIO","SABADO","AV AVENIDA PRIMERO DE MAYO-CL 39A S","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2016/06/11 20:29:59+00","4.61741206","-74.15150004"
"A000910560","10474829","2019/02/05","18:05:00","2019","FEBRERO","MARTES","KR 45-CL 125","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2019/02/05 18:04:59+00","4.70548056","-74.05403716"
"A000550142","4474149","2017/02/26","22:00:00","2017","FEBRERO","DOMINGO","AV AVENIDA CIUDAD DE CALI-CL 99","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2017/02/26 21:59:59+00","4.71446579","-74.09311346"
"A000041686","4402063","2015/01/13","10:00:00","2015","ENERO","MARTES","KR 50-CL 44B","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2015/01/13 09:59:59+00","4.64313791","-74.08938472"
"A000346577","4442550","2016/04/17","18:30:00","2016","ABRIL","DOMINGO","KR 20-CL 68H S","SOLO DANOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2016/04/17 18:30:00+00","4.560771","-74.15145633"
"A001027811","10488091","2019/06/17","10:40:00","2019","JUNIO","LUNES","AK 68-CL 8","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2019/06/17 10:40:00+00","4.68473463","-74.07799204"
"A000475758","4462157","2016/10/27","13:00:00","2016","OCTUBRE","JUEVES","AC 68-KR 24","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2016/10/27 12:59:59+00","4.65909329","-74.06969095"
"A8769","4417539","2015/07/07","8:05:00","2015","JULIO","MARTES","CL 120-KR 50","CON HERIDOS","CHOQUE","SUBA","BOGOTA DC","2015/07/07 08:05:00+00","4.70249215","-74.05911152"
"A9993","4418453","2015/07/17","9:50:00","2015","JULIO","VIERNES","KR 30-CL 1D","SOLO DANOS","CHOQUE","LOS MARTIRES","BOGOTA DC","2015/07/17 09:49:59+00","4.60049013","-74.10377821"
"A000282352","4434432","2016/01/18","11:40:00","2016","ENERO","LUNES","AV AVENIDA DE LAS AMERICAS-KR 81C","CON HERIDOS","ATROPELLO","KENNEDY","BOGOTA DC","2016/01/18 11:39:59+00","4.63726112","-74.15475141"
"A000692346","4501070","2017/11/26","10:00:00","2017","NOVIEMBRE","DOMINGO","AV AVENIDA CIUDAD DE CALI-CL 10","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2017/11/26 09:59:59+00","4.6492","-74.1469"
"A000690754","4500762","2017/11/26","20:10:00","2017","NOVIEMBRE","DOMINGO","KR 77-CL 44 S","CON HERIDOS","CHOQUE","KENNEDY","BOGOTA DC","2017/11/26 20:10:00+00","4.6084","-74.1617"
"A001339655","10547736","2021/08/24","14:20:00","2021","AGOSTO","MARTES","CL 26  S- KR 68 B ","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2021/08/24 14:19:59+00","4.65557423","-74.10512088"
"A000695804","4504517","2017/12/31","10:30:00","2017","DICIEMBRE","DOMINGO","CL 63-KR 80 ","SOLO DANOS","CHOQUE","BOSA","BOGOTA DC","2017/12/31 10:30:00+00","4.60713219","-74.18343416"
"A001027180","10488468","2019/06/20","5:00:00","2019","JUNIO","JUEVES","CL 37-KR 51 ","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2019/06/20 05:00:00+00","4.59967537","-74.12679051"
"A001341528","10548933","2021/09/04","16:30:00","2021","SEPTIEMBRE","SABADO","KR 30 -CL 26 ","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2021/09/04 16:30:00+00","4.62777546","-74.08110139"
"A000755762","4506750","2018/01/27","7:45:00","2018","ENERO","SABADO","AC 80-KR 8","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/01/27 07:44:59+00","4.70345438","-74.10170168"
"A000645197","4494693","2017/09/25","13:40:00","2017","SEPTIEMBRE","LUNES","KR 30-CL 59","CON HERIDOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2017/09/25 13:40:00+00","4.64964642","-74.07849913"
"A001034447","10495333","2019/08/29","17:46:00","2019","AGOSTO","JUEVES","KR 90A-CL 76","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2019/08/29 17:45:59+00","4.70409075","-74.10588104"
"A000608136","4483927","2017/06/03","5:25:00","2017","JUNIO","SABADO","AV AVENIDA CIUDAD DE CALI-CL 17","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2017/06/03 05:25:00+00","4.65871485","-74.13634494"
"A000871972","10461223","2018/09/20","6:50:00","2018","SEPTIEMBRE","JUEVES","CL 90-KR 11","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/09/20 06:49:59+00","4.73327339","-74.11627813"
"A000755982","4505252","2018/01/13","1:50:00","2018","ENERO","SABADO","CL 63-KR 93","CON HERIDOS","CHOQUE","ENGATIVA","BOGOTA DC","2018/01/13 01:50:00+00","4.6895","-74.1186"
"A001394028","10565390","2022/03/09","18:58:00","2022","MARZO","MIERCOLES","CL 80 BIS S- KR 94 ","CON HERIDOS","CHOQUE","BOSA","BOGOTA DC","2022/03/09 18:58:00+00","4.628","-74.209"
"A000552954","4470248","2017/01/14","1:45:00","2017","ENERO","SABADO","AV AVENIDA CARACAS-CL 60","SOLO DANOS","CHOQUE","CHAPINERO","BOGOTA DC","2017/01/14 01:44:59+00","4.64711361","-74.06496877"
"A001389795","10563678","2022/02/15","15:05:00","2022","FEBRERO","MARTES","CL 13 -KR 104 ","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2022/02/15 15:04:59+00","4.667","-74.158"
"A000472809","4458500","2016/09/25","12:15:00","2016","SEPTIEMBRE","DOMINGO","CL 83-TR 93","CON HERIDOS","CAIDA DE OCUPANTE","ENGATIVA","BOGOTA DC","2016/09/25 12:14:59+00","4.70805423","-74.1046451"
"A001179616","10523658","2020/08/23","7:45:00","2020","AGOSTO","DOMINGO","KR 15-CL 100","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2020/08/23 07:44:59+00","4.68566621","-74.04786021"
"A000551541","4469494","2017/01/08","2:45:00","2017","ENERO","DOMINGO","AV AVENIDA BOYACA-CL 127","CON MUERTOS","CHOQUE","SUBA","BOGOTA DC","2017/01/08 02:45:00+00","4.70987993","-74.0799935"
"A000346660","4442752","2016/04/20","17:00:00","2016","ABRIL","MIERCOLES","CL 74-KR 20A","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2016/04/20 17:00:00+00","4.66222941","-74.06211179"
"A000818205","10451451","2018/06/17","13:10:00","2018","JUNIO","DOMINGO","CL 31-KR 9A S","SOLO DANOS","CHOQUE","SAN CRISTOBAL","BOGOTA DC","2018/06/17 13:09:59+00","4.56844429","-74.10062066"
"A000041772","4402502","2015/01/19","10:30:00","2015","ENERO","LUNES","CL 45-KR 16","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2015/01/19 10:30:00+00","4.63292259","-74.06961202"
"A000644981","4494354","2017/09/21","11:00:00","2017","SEPTIEMBRE","JUEVES","AK 45-CL 166","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2017/09/21 11:00:00+00","4.74736306","-74.0469696"
"A000470702","4458699","2016/09/25","12:00:00","2016","SEPTIEMBRE","DOMINGO","CL 80-KR 104","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2016/09/25 12:00:00+00","4.71335734","-74.11516191"
"A001451142","10571209","2022/05/16","20:30:00","2022","MAYO","LUNES","CL 26 -KR 85 D ","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2022/05/16 20:29:59+00","4.677","-74.118"
"A000643066","4491809","2017/08/28","10:00:00","2017","AGOSTO","LUNES","CL 127B-KR 19","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2017/08/28 09:59:59+00","4.70828322","-74.04867464"
"A000341465","4437396","2016/02/20","22:00:00","2016","FEBRERO","SABADO","AK 68-CL 25","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2016/02/20 21:59:59+00","4.65109531","-74.1053568"
"A000867179","10458111","2018/08/21","13:20:00","2018","AGOSTO","MARTES","KR 30-CL 9","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2018/08/21 13:20:00+00","4.67768173","-74.06036938"
"A000907983","10474164","2019/01/29","9:40:00","2019","ENERO","MARTES","AV AVENIDA CIUDAD DE VILLAVICENCIO-CL 43 S","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2019/01/29 09:40:00+00","4.6156071","-74.16273073"
"A001135569","10514736","2020/03/30","13:48:00","2020","MARZO","LUNES","CL 13-KR 42","SOLO DANOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2020/03/30 13:47:59+00","4.62119835","-74.09948489"
"A001386119","10556860","2021/11/27","16:20:00","2021","NOVIEMBRE","SABADO","AV AVENIDA BOYACA-CL 116 ","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2021/11/27 16:20:00+00","4.70196787","-74.08146898"
"A001342784","10550633","2021/09/18","18:10:00","2021","SEPTIEMBRE","SABADO","CL 79 BIS S- KR 18 D ","SOLO DANOS","CHOQUE","CIUDAD BOLIVAR","BOGOTA DC","2021/09/18 18:10:00+00","4.53846855","-74.14610163"
"A001344717","10551796","2021/10/08","20:19:00","2021","OCTUBRE","VIERNES","AV AVENIDA TRANSVERSAL DE SUBA-CL 122 ","CON HERIDOS","CHOQUE","SUBA","BOGOTA DC","2021/10/08 20:19:00+00","4.708","-74.081"
"A001061601","10505104","2019/12/10","7:18:00","2019","DICIEMBRE","MARTES","CL 19-KR 69","CON HERIDOS","CHOQUE","FONTIBON","BOGOTA DC","2019/12/10 07:18:00+00","4.64854904","-74.12032614"
"A2861","4406417","2015/02/28","17:30:00","2015","FEBRERO","SABADO","KR 56BIS-DG 79BBIS","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2015/02/28 17:29:59+00","4.67755328","-74.07382214"
"A000605646","4484046","2017/06/07","7:30:00","2017","JUNIO","MIERCOLES","AV AVENIDA CARACAS-CL 15","CON HERIDOS","CHOQUE","SANTA FE","BOGOTA DC","2017/06/07 07:30:00+00","4.60509773","-74.07865276"
"A001304088","10544264","2021/07/10","17:18:00","2021","JULIO","SABADO","AV AVENIDA PRIMERO DE MAYO-KR 13 ","SOLO DANOS","CHOQUE","ANTONIO NARINO","BOGOTA DC","2021/07/10 17:18:00+00","4.58094973","-74.10176472"
"A001126736","10505088","2019/12/10","20:00:00","2019","DICIEMBRE","MARTES","KR 16-CL 82","CON HERIDOS","CHOQUE","CHAPINERO","BOGOTA DC","2019/12/10 20:00:00+00","4.66909091","-74.05648164"
"A001239796","10532518","2021/02/05","7:43:00","2021","FEBRERO","VIERNES","KR 14 V-CL 69 S","CON HERIDOS","CHOQUE","USME","BOGOTA DC","2021/02/05 07:43:00+00","4.52337919","-74.11939416"
"A001181111","10524376","2020/09/05","21:30:00","2020","SEPTIEMBRE","SABADO","KR 45-CL 152","SOLO DANOS","CHOQUE","USAQUEN","BOGOTA DC","2020/09/05 21:30:00+00","4.73749004","-74.04906714"
"A000401030","4446003","2016/05/20","18:50:00","2016","MAYO","VIERNES","CL 74A-KR 68","SOLO DANOS","CHOQUE","ENGATIVA","BOGOTA DC","2016/05/20 18:49:59+00","4.67979693","-74.08449375"
"A000280552","4433634","2016/01/05","8:10:00","2016","ENERO","MARTES","CL 17-KR 120","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2016/01/05 08:10:00+00","4.68544555","-74.16155146"
"A001178702","10518217","2020/07/27","8:30:00","2020","JULIO","LUNES","CL 170-KR 80","CON HERIDOS","CHOQUE","SUBA","BOGOTA DC","2020/07/27 08:29:59+00","4.76210345","-74.07095424"
"A000347154","4444407","2016/05/02","21:56:00","2016","MAYO","LUNES","AK 68-CL 22","CON HERIDOS","CHOQUE","FONTIBON","BOGOTA DC","2016/05/02 21:56:00+00","4.64571064","-74.11035456"
"A000907800","10472061","2019/01/04","13:16:00","2019","ENERO","VIERNES","KR 30-CL 63","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2019/01/04 13:15:59+00","4.65574939","-74.07827779"
