"FORMULARIO","CODIGO_ACCIDENTE","FECHA_OCURRENCIA_ACC","HORA_OCURRENCIA_ACC","ANO_OCURRENCIA_ACC","MES_OCURRENCIA_ACC","DIA_OCURRENCIA_ACC","DIRECCION","GRAVEDAD","CLASE_ACC","LOCALIDAD","MUNICIPIO","FECHA_HORA_ACC","LATITUD","LONGITUD"
"A001394962","10565331","2022/03/10","19:20:00","2022","MARZO","JUEVES","KR 64 -CL 98 ","SOLO DANOS","CHOQUE","BARRIOS UNIDOS","BOGOTA DC","2022/03/10 19:20:00+00","4.68799996","-74.06910777"
"A000821896","10454504","2018/07/17","20:00:00","2018","JULIO","MARTES","AV AVENIDA SUBA-CL 114A","CON HERIDOS","CAIDA DE OCUPANTE","SUBA","BOGOTA DC","2018/07/17 20:00:00+00","4.6967701","-74.06889289"
"A001132369","10510572","2020/02/08","19:00:00","2020","FEBRERO","SABADO","CL 22-KR 27","SOLO DANOS","CHOQUE","LOS MARTIRES","BOGOTA DC","2020/02/08 18:59:59+00","4.6188367","-74.08463749"
"A971","4405646","2015/02/20","6:45:00","2015","FEBRERO","VIERNES","CL 127A-KR 48","SOLO DANOS","CHOQUE","SUBA","BOGOTA DC","2015/02/20 06:45:00+00","4.70930756","-74.05671512"
"A000643707","4492355","2017/09/02","22:21:00","2017","SEPTIEMBRE","SABADO","AV AVENIDA CIUDAD DE CALI-CL 22","CON HERIDOS","CHOQUE","FONTIBON","BOGOTA DC","2017/09/02 22:21:00+00","4.66573329","-74.13056478"
"A000404645","4451828","2016/07/19","8:35:00","2016","JULIO","MARTES","AC 26-KR 32","SOLO DANOS","CHOQUE","TEUSAQUILLO","BOGOTA DC","2016/07/19 08:35:00+00","4.62875734","-74.08202462"
"A000407728","4452965","2016/07/30","19:00:00","2016","JULIO","SABADO","KR 24F-CL 19 S","SOLO DANOS","CHOQUE","ANTONIO NARINO","BOGOTA DC","2016/07/30 18:59:59+00","4.58768907","-74.10538464"
"A000904391","10468447","2018/11/29","15:28:00","2018","NOVIEMBRE","JUEVES","CL 13-KR 8","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2018/11/29 15:27:59+00","4.65821036","-74.13483559"
"A000649030","4487119","2017/07/11","13:40:00","2017","JULIO","MARTES","CL 19A-KR 79","SOLO DANOS","CHOQUE","FONTIBON","BOGOTA DC","2017/07/11 13:40:00+00","4.65805456","-74.1293217"
"A000345492","4442230","2016/04/15","10:45:00","2016","ABRIL","VIERNES","AC 13-KR 60","CON HERIDOS","CHOQUE","PUENTE ARANDA","BOGOTA DC","2016/04/15 10:44:59+00","4.63260006","-74.1124438"
"A000765274","4514644","2018/04/13","7:48:00","2018","ABRIL","VIERNES","KR 52A-CL 48 S","CON HERIDOS","ATROPELLO","TUNJUELITO","BOGOTA DC","2018/04/13 07:47:59+00","4.59138088","-74.13599989"
"A001301084","10543520","2021/07/01","9:30:00","2021","JULIO","JUEVES","KR 86 -CL 6 ","SOLO DANOS","CHOQUE","KENNEDY","BOGOTA DC","2021/07/01 09:30:00+00","4.64178947","-74.15490553"
